feature,importance
bmi,0.3647905172515169
age,0.17577204233948585
raceeth_0,0.04098978137806877
physical_act_1,0.03367896682489431
physical_act_0,0.0332984586987399
income_0,0.025622141083237814
educ_1,0.02334920880074078
female_1,0.021456330269433426
female_0,0.021330648401990983
income_3,0.020756567843380078
smoking_0,0.019736484715926855
smoking_1,0.01940781687932271
urban_1,0.01862617065068906
urban_0,0.01837318536532058
educ_2,0.018223679200511805
raceeth_1,0.018004511138368696
marital_status_1,0.017631219165613995
income_1,0.01677012065656096
educ_3,0.01646760109279633
educ_4,0.015881626816540588
income_2,0.015337938014541799
raceeth_2,0.012474061288860725
marital_status_3,0.012188716881632556
marital_status_2,0.012109258150884252
marital_status_4,0.005012906826068406
raceeth_3,0.0027100402648718076
